tx_hash,block_number,evt_index,contract_address,block_time,maker,taker,taker_token,taker_symbol,maker_token,maker_symbol,token_pair,taker_token_amount,taker_token_amount_raw,maker_token_amount,decimals,maker_token_amount_raw,type,affiliate_address,swap_flag,matcha_limit_order_flag,volume_usd,tx_from,tx_to
0x619373cd32133e8146b6ae12d296d6c0f9d5be3403172898abd0c4754a56b959,2.67E+07,51,0xdb6f1920a889355780af7570773609bd8cb1f498,2023-03-23T04:44:56Z,0x000000024b6e6967687453776170000000000000,0x303fb49bb56436bff9e2cfb9a1e26f8dcecd9039,0x55d398326f99059ff775485246999027b3197955,USDT,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,USDT-WBNB,2.5,2.50E+18,0.007784098297,18,7.78E+15,NewBridgeFill,0x3ce37278de6388532c3949ce4e886f365b14fb56,TRUE,FALSE,2.510527383,0x303fb49bb56436bff9e2cfb9a1e26f8dcecd9039,0xdef1c0ded9bec7f1a1670819833240f027b25eff
0xe4159337ac89762354227311ac66134083e4d197817e14050c0d01edaa738693,2.69E+07,161,0xdef1c0ded9bec7f1a1670819833240f027b25eff,2023-03-29T16:37:38Z,0x06dbc4fe79e2541b03fe4731b2579c0b7f46f099,0xc590175e458b83680867afd273527ff58f74c02b,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,0x2170ed0880ac9a755fd29b2688956bd959f933f8,ETH,ETH-WBNB,0.14,1.4E+17,0.02455273812,18,24552738116051827,RfqOrderFilled,,FALSE,FALSE,44.27840792,0xeaca305380c9e36e26f5a3f460d4ba17bc4be25b,0x1a1ec25dc08e98e5e93f1104b5e5cdd298707d31
0x3f12723bfc20ef99b801ccad83263754cbebc86cc54d30fa45a5263f2070514f,2.67E+07,138,0xdb6f1920a889355780af7570773609bd8cb1f498,2023-03-24T11:38:03Z,0x000000024b6e6967687453776170000000000000,0x3090a8da23358422a98a0cc2ddeda51ebdeb27d0,0x55d398326f99059ff775485246999027b3197955,USDT,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,USDT-WBNB,6,6.00E+18,0.0185424304,18,1.85E+16,NewBridgeFill,0x39041f1b366fe33f9a5a79de5120f2aee2577ebc,TRUE,FALSE,6.009230845,0x3090a8da23358422a98a0cc2ddeda51ebdeb27d0,0xdef1c0ded9bec7f1a1670819833240f027b25eff
0x30fe752bad091b4e6a2f11acdb93ac3a8e0dcec7ad0f7127e81636b1cb1a1940,2.67E+07,52,0xdb6f1920a889355780af7570773609bd8cb1f498,2023-03-24T11:54:41Z,0x0000000a446f646f000000000000000000000000,0x5f9f08b62e1c2c58ac266e1733b6b9740229c75d,0x55d398326f99059ff775485246999027b3197955,USDT,0xe9e7cea3dedca5984780bafc599bd69add087d56,BUSD,BUSD-USDT,538.0771405,5.38E+20,538.8616284,18,5.39E+20,NewBridgeFill,0x1000000000000000000000000000000000000011,TRUE,FALSE,532.3742733,0x5f9f08b62e1c2c58ac266e1733b6b9740229c75d,0xd1ca1f4dbb645710f5d5a9917aa984a47524f49a
0x113ec6c34040d4af602826d8026986f0f646be1b8aa634a283fd16a07e0b689a,2.69E+07,213,0xdef1c0ded9bec7f1a1670819833240f027b25eff,2023-03-29T16:49:59Z,0x06dbc4fe79e2541b03fe4731b2579c0b7f46f099,0xc590175e458b83680867afd273527ff58f74c02b,0x55d398326f99059ff775485246999027b3197955,USDT,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,USDT-WBNB,29.96,2.996E+19,0.09476039237,18,94760392370017191,RfqOrderFilled,,FALSE,FALSE,29.96039326,0xec875960df79b5fbcae2ad49f838dd444148c2b5,0x1a1ec25dc08e98e5e93f1104b5e5cdd298707d31
0x07be2832d6107fd53553129dd844c05f6617ec65af26cbc144a4a8f3164e858f,2.69E+07,139,0xdef1c0ded9bec7f1a1670819833240f027b25eff,2023-03-29T16:37:23Z,0x06dbc4fe79e2541b03fe4731b2579c0b7f46f099,0xc590175e458b83680867afd273527ff58f74c02b,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,0x55d398326f99059ff775485246999027b3197955,USDT,USDT-WBNB,0.32434149,3.24341E+17,102.4839077,18,102483907713734250000,RfqOrderFilled,,FALSE,FALSE,102.5783979,0xfba4f88dfa6de3dafd7bafdb527d36eba840cc05,0x1a1ec25dc08e98e5e93f1104b5e5cdd298707d31
0x24de7fa177db7ed936fcfddaadbdc11d48068f801b212d09867f50927f239252,2.67E+07,187,0xdb6f1920a889355780af7570773609bd8cb1f498,2023-03-24T11:36:54Z,0x0000000250616e63616b65537761700000000000,0x0df387957cb89beda7c0a2aacd8bdb11cbae599a,0xe9e7cea3dedca5984780bafc599bd69add087d56,BUSD,0x2170ed0880ac9a755fd29b2688956bd959f933f8,ETH,BUSD-ETH,3.796078344,3.80E+18,0.002111807078,18,2.11E+15,NewBridgeFill,0x3ce37278de6388532c3949ce4e886f365b14fb56,TRUE,FALSE,3.783344616,0x0df387957cb89beda7c0a2aacd8bdb11cbae599a,0xdef1c0ded9bec7f1a1670819833240f027b25eff
0xd88b0c5995641b7bfe370dcd29b085e54880736a127593cd4fc2f3e02a7ee8df,2.67E+07,114,0xdb6f1920a889355780af7570773609bd8cb1f498,2023-03-24T11:32:36Z,0x0000000250616e63616b65537761705632000000,0x148268336fdc507dbf2058d93091618ec7a2d042,0x87230146e138d3f296a9a77e497a2a83012e9bc5,SQUID,0x2170ed0880ac9a755fd29b2688956bd959f933f8,ETH,ETH-SQUID,,2.57E+21,0.01113057709,18,1.11E+16,NewBridgeFill,0x3ce37278de6388532c3949ce4e886f365b14fb56,TRUE,FALSE,19.94810896,0x148268336fdc507dbf2058d93091618ec7a2d042,0xdef1c0ded9bec7f1a1670819833240f027b25eff
0xd6d7087d83bec10cff4e5cc6e82efbfcbb91ac12e32ce5797c4bb12a8c0cc0f9,2.69E+07,333,0xdef1c0ded9bec7f1a1670819833240f027b25eff,2023-03-29T15:42:10Z,0x06dbc4fe79e2541b03fe4731b2579c0b7f46f099,0xc590175e458b83680867afd273527ff58f74c02b,0x2170ed0880ac9a755fd29b2688956bd959f933f8,ETH,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,ETH-WBNB,0.01289431,1.28943E+16,0.07352947895,18,73529478949690490,RfqOrderFilled,,FALSE,FALSE,23.26766832,0x2d8fc37354796ef2500fe87b0593060251b8ba86,0x1a1ec25dc08e98e5e93f1104b5e5cdd298707d31
0xc9d47bfddb98e91e5a461311b4e4c88af6ab111d0d0a076bb2616af9ca9e2b78,2.69E+07,73,0xdef1c0ded9bec7f1a1670819833240f027b25eff,2023-03-29T17:20:11Z,0x06dbc4fe79e2541b03fe4731b2579c0b7f46f099,0xc590175e458b83680867afd273527ff58f74c02b,0x55d398326f99059ff775485246999027b3197955,USDT,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,USDT-WBNB,10,1E+19,0.03157863272,18,31578632724741699,RfqOrderFilled,,FALSE,FALSE,9.986742599,0x318f72a911e8044ce5548765deddc12ab7f00623,0x1a1ec25dc08e98e5e93f1104b5e5cdd298707d31
