blockchain,project,version,block_time,block_date,block_number,tx_hash,evt_index,buyer,seller,project_contract_address,token_id,nft_contract_address,amount_raw,platform_fee_amount_raw,royalty_fee_amount_raw,currency_contract,unique_trade_id
optimism,zonic,v1,2023-02-17T06:42:35Z,2023-02-17T00:00:00Z,7.4910169e+07,0xd1cfc58f926ca64b3e64bbb7dd7acad7614050c61854982d8ce7581fdaed11a1,0,0x37750e1e5d2327207f00bca4b72acae0dfc25b52,0xa7ab74309974c46269e90b001a9a8858172a97b0,0x11c9e50dfde606a864a25726d174faf947626f3d,7654,0xc480325c86392b773cbad885759c205f26d91bbb,9e+15,2.25e+14,0,0xdeaddeaddeaddeaddeaddeaddeaddeaddead0000,0xf8b3deaf6d5737f34530e0aa755cb48c11713b77
optimism,zonic,v1,2023-02-17T07:15:09Z,2023-02-17T00:00:00Z,7.4914578e+07,0x770ea847974390cc9facdfb7266144249ee5bc4fd836b7c5107013a93aecbbf2,0,0xf37a1e05106bd964e5095b328d6ac5629a1f6b54,0xc3ee19826f13b3509c8fedcc5576552c36dd74bc,0x11c9e50dfde606a864a25726d174faf947626f3d,6968,0x662146c0e1126488662c0afbb53a0cdbfa1bde4a,5e+15,1.25e+14,0,0xdeaddeaddeaddeaddeaddeaddeaddeaddead0000,0x89843865a75bee3295d0c18a85ad3003327fb723
optimism,zonic,v1,2023-02-09T09:58:16Z,2023-02-09T00:00:00Z,7.3119018e+07,0x043fa1f069b8f5032379344b0efdd8d4591602dd6c28c650772df07af81ef9a1,0,0xe8265d372266f45f99fd4e13fbc0f1d7d59a12ea,0x458dd535c95ffd84b127eaa9b72c2f6aec201b76,0x11c9e50dfde606a864a25726d174faf947626f3d,423383,0xfa14e1157f35e1dad95dc3f822a9d18c40e360e2,5e+14,1.25e+13,0,0xdeaddeaddeaddeaddeaddeaddeaddeaddead0000,0xc34c90a89fef814d86bdb53d0fe670d911c9dc70
optimism,zonic,v1,2023-02-06T04:24:10Z,2023-02-06T00:00:00Z,7.2503734e+07,0xc9ee88018b749eeffd189e9fdd52de6525caefa8a683cd6aaccae903cb787bca,0,0x06b0019649acd72e895baf0a2a1e9b4e3b495d29,0x63a43a24de2ce6b1bfed393f6fad714b172a977e,0x11c9e50dfde606a864a25726d174faf947626f3d,1512,0x0f027dd51d793b91e630adfb268a61a54fe1c7bc,1e+14,2.5e+12,0,0xdeaddeaddeaddeaddeaddeaddeaddeaddead0000,0x8ea6fb375750ad36ed8523f24cea64e445fead32
optimism,zonic,v1,2023-02-08T14:30:20Z,2023-02-08T00:00:00Z,7.2952837e+07,0x492589f430efe779fa786258c6067de32bf0324fe45cc0ae55f9d2f4df7d4309,0,0x46f0aacc078a848cbc33d0a3bdcaa614abdcad59,0x8169514c0c4b6f861a9ec65a485569bb4b1b91da,0x11c9e50dfde606a864a25726d174faf947626f3d,3881,0x656b02f01500e0d7c072330e324f3e026df91f55,6.9e+15,1.725e+14,3.45e+14,0xdeaddeaddeaddeaddeaddeaddeaddeaddead0000,0x2621e70d832037edc3cb5063afb57a06ad0a1efa
optimism,zonic,v1,2023-02-06T04:41:03Z,2023-02-06T00:00:00Z,7.2504903e+07,0xbe1e875ebe411a377f57181b2ee05681e8ce227d73f9afb50a37de88decb3732,0,0x4efca6454dc485d34dc9b4afe1b101a2fb16f417,0x6cb0fee429638ad65e99ffe69fd3683ef89af4ec,0x11c9e50dfde606a864a25726d174faf947626f3d,1400,0x0f027dd51d793b91e630adfb268a61a54fe1c7bc,1e+14,2.5e+12,0,0xdeaddeaddeaddeaddeaddeaddeaddeaddead0000,0x56bb7bb407fae9108f41300ff6989caa34993ff4
optimism,zonic,v1,2023-02-05T16:05:46Z,2023-02-05T00:00:00Z,7.242526e+07,0x94e2dd76e867389520d70232d9252f2665aa43028cb85cdb3df5907244c2b9d8,0,0x63a43a24de2ce6b1bfed393f6fad714b172a977e,0x2e3fca35cbbb34dc9005eed1cdbfeff763cceeca,0x11c9e50dfde606a864a25726d174faf947626f3d,2161,0x0f027dd51d793b91e630adfb268a61a54fe1c7bc,1e+14,2.5e+12,0,0xdeaddeaddeaddeaddeaddeaddeaddeaddead0000,0x3d70696c11ff54976334e85ae7eeb5316232349a
optimism,zonic,v1,2023-02-04T17:03:50Z,2023-02-04T00:00:00Z,7.228483e+07,0xac0808aaf8cd053e70b74f8664bd0a33150e1d60ad472a07a4ca818a28502d9f,0,0x25a04bc7379faabc0be0421da74191ea51713c8c,0x63c4891c56ec141c25c1db3e2ee07f90819a8062,0x11c9e50dfde606a864a25726d174faf947626f3d,3660,0x1f9ca631ae0c4890f99b38634c969b7e4f8719f0,1e+15,2.5e+13,0,0xdeaddeaddeaddeaddeaddeaddeaddeaddead0000,0x3e63dc31fc5ae31d582ed96c308ec31a51506f71
optimism,zonic,v1,2023-02-06T12:26:07Z,2023-02-06T00:00:00Z,7.2569575e+07,0x3444c5755d385ff777c23dc06f66f7a47921240bd18b16f4782fa35f82221ac5,0,0x6c9c85d0501ca8cca7b63432cd7bfee79308394d,0x8169514c0c4b6f861a9ec65a485569bb4b1b91da,0x11c9e50dfde606a864a25726d174faf947626f3d,2817,0x656b02f01500e0d7c072330e324f3e026df91f55,1e+16,2.5e+14,5e+14,0xdeaddeaddeaddeaddeaddeaddeaddeaddead0000,0x04627e191a5e3f853ff8003718db29cfe12c9798
optimism,zonic,v1,2023-02-04T14:34:42Z,2023-02-04T00:00:00Z,7.2265562e+07,0xaeb87c54a6812b5ce74bb360182531a469d2a8db36ae282e95cb544ca349ea79,0,0x682d154b51a281c0e2d271085ae074443696ff2b,0x672c3b982325be86e221fe5d0eb5391ffa9cc8fc,0x11c9e50dfde606a864a25726d174faf947626f3d,13,0xe3ad7242d9a09fb2bde13ff2c08e94b3f3238701,2.2e+15,5.5e+13,1.1e+14,0xdeaddeaddeaddeaddeaddeaddeaddeaddead0000,0x1de9a35f1bc4cd5e282e65229113cdcf4adf2d81
