block_time,block_date,block_month,blockchain,amount_usd,type,token_bought_amount,token_bought_symbol,token_bought_address,token_sold_amount,token_sold_symbol,token_sold_address,fee_usd,fee_token_amount,fee_token_symbol,fee_token_address,project,version,token_pair,project_contract_address,user,tx_id,tx_index,outer_instruction_index,inner_instruction_index,is_last_trade_in_transaction
2024-03-24 01:27:35.000 UTC,2024-03-24 00:00:00.000 UTC,2024-03-01 00:00:00.000 UTC,solana,35.21,Buy,97.128190301,,4XBv37cG2UrPKyvBT57oeFGoS9n4eJs1LWULFgCsEyrP,0.2,SOL,So11111111111111111111111111111111111111112,0.0,0.0,SOL,So11111111111111111111111111111111111111112,raydium,4,,792VwVD7CPWUSQCXefnV63rwdvf7oCfmNFpYJGXZWqeq,BZx8KFRGNoeRy2ayTTtSEkzKRfKgtbW6g4xWxYuFaNsw,4yfBuVpboFgsPqsxGHsEunCVgsBha5kFg88WBne5zmHD92BcC74kq8dUPNaYRBHR8FrRKXNAEypzgn1SQUiZQArx,630,7,1,true
2024-03-24 01:27:03.000 UTC,2024-03-24 00:00:00.000 UTC,2024-03-01 00:00:00.000 UTC,solana,4.40125,Buy,5.575077415663134E8,,5uzajvdAYaRRs3R6eEVvDbqHSUH5WvSzmqHmL9ZPCUQY,0.025,SOL,So11111111111111111111111111111111111111112,0.0,0.0,SOL,So11111111111111111111111111111111111111112,raydium,4,,48u5scvP4R1Ab2ph1mThB1ttgtK2fakyEk7PACku5Tp7,5T7iBjJif5iWk12M11MXRHHq2URak46ZkiyDXnwTNjyn,51ecVVyRvZime4gquaWEdFafvZjhgaJ5ByeKTSvVksKwi8ssGmPh6Mzn2fBoqC4oPL3LWRmD1ncJhEZDpibmMo4A,204,7,1,true
2024-03-23 22:11:17.000 UTC,2024-03-23 00:00:00.000 UTC,2024-03-01 00:00:00.000 UTC,solana,2.14083236543,Sell,0.012281753,SOL,So11111111111111111111111111111111111111112,0.354624641,,2XSPBuxLSpqLRpTffE89fbbDxEYTq3jdSgEHnyu68FxL,0.0,0.0,SOL,So11111111111111111111111111111111111111112,raydium,4,,5U39M3RHxXVQxmPrTfVFHF6hiLY23pAmdUKytgwUUFsL,FwJZDgChAXBMh43yD6WsHP2HjUcYKNWGHhx8mQHDGxjn,3ERJ1rTfo7QGutrgMPLL9Z1riA9ZekxqpD8orbX3xpj9M4KmijsvbPxXFnDs5LyDNKcKRrVcWHrsXYv6TCvvZeS2,1844,3,1,true
2024-03-23 22:11:16.000 UTC,2024-03-23 00:00:00.000 UTC,2024-03-01 00:00:00.000 UTC,solana,3.56153277287,Sell,0.020432177,SOL,So11111111111111111111111111111111111111112,0.566611021,,2XSPBuxLSpqLRpTffE89fbbDxEYTq3jdSgEHnyu68FxL,0.0,0.0,SOL,So11111111111111111111111111111111111111112,raydium,4,,5U39M3RHxXVQxmPrTfVFHF6hiLY23pAmdUKytgwUUFsL,A4F7vdZ5chtpmVJm8emMksULSUtoPbQJSHUfGmpy9Ay3,3PWAq9aqxGikj6yGLv4XMAD3oT5CVg57znAtr6wRL2srKPWRKdkgQvXMff2taQHfVRrNHx5YAh4LMPfDeUSXWJ6x,37,4,1,true
2024-03-23 16:05:42.000 UTC,2024-03-23 00:00:00.000 UTC,2024-03-01 00:00:00.000 UTC,solana,77.22296717336,Sell,0.441425444,SOL,So11111111111111111111111111111111111111112,1.3689310377256552E7,KHAN,EZKVSdkRJ8J3q1hTTEeQNNuUnqCoJdHfBRoGmc2aHNHD,0.0,0.0,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-KHAN,FMMYkaZtbnHmaxJNkkj9i1vGgDF31L8jbS5iWZtFMbLr,HPir5U6YBgXuDSKZnGzKJzRHAxHUZrDRAq343ZSzwoCB,5aknZrrbgMUcoB695oUgFs1P1e2nGLFTonNAf5hvvYx4MHrx2gJiie4UV3K1P6TxUjfA4gZX9KPQx3hFgSey75rM,232,4,1,true
2024-03-23 16:05:06.000 UTC,2024-03-23 00:00:00.000 UTC,2024-03-01 00:00:00.000 UTC,solana,1283.71641705308,Sell,7.338038282,SOL,So11111111111111111111111111111111111111112,1554604.245524,SHEEP,9d7dPmPKXFgpzwo4ecoYPnG5NkopKsGiE2eGoTfmMoGG,0.0,0.0,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-SHEEP,Bw8ShhGGe9k6TPGgnYe8h2cMXJwpgAoTVK2mX4wA39XV,4ybuCtomrGpEMEf4XoUHDpLVgD8LLp1iraAWNgni2myL,58o1STRCpW3smzteZkk4oRuz7fhgYAm9ZnYeiLCQvmTUMteaJYBVEXKMcb5PvZK23qNjKb4SC5J2HTqDyUkkMjje,1501,3,1,true
2024-03-23 02:56:42.000 UTC,2024-03-23 00:00:00.000 UTC,2024-03-01 00:00:00.000 UTC,solana,175.01,Buy,1.6089537196858445E7,FURB,8arEYgkmJgp6GDorP1wjby4z7JiR7VbVEpDZY1hCbBAr,1.0,SOL,So11111111111111111111111111111111111111112,0.0,0.0,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-FURB,BekjVn3EZekfsXFYLwKBcDFqVFrPhxjKrJR4xQLRHxPi,FnupXZj5yiGqoJcjn88LyaGeTHarxGHj4HkAAtcoS8vK,K77YZWJmTfkdYz26D35cda63x8XAYgscLV2e6gqxRAJbxEgxhxHSfAg76Fu6fe5LuTKvu4j7zGz5X1oX1NXRZSW,728,6,1,true
2024-03-22 18:02:33.000 UTC,2024-03-22 00:00:00.000 UTC,2024-03-01 00:00:00.000 UTC,solana,751.4432621760401,Sell,4.361755643,SOL,So11111111111111111111111111111111111111112,4826676.28013,APU,ECutGg12PNhqhkvnH1s1FcuXgCDzKDNhSf5aLtANioR7,0.0,0.0,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-APU,HfGLey7nMZZnvSpBnPU17CMPBZoy6eiseX54FoYwpm8S,8RwwoeKFQPuMiJVa86gRrUifLYQV1F1d4bmwE3HXxpha,3VNWMNUX1nVzWTyo45KjrD9QRsgKy1rDcztSsGX4FUK3AQWGsrGQ8j76MZU3SnJLQuAeXo9LND9ATUiazGXD4jNk,92,3,1,true
2024-03-22 18:02:30.000 UTC,2024-03-22 00:00:00.000 UTC,2024-03-01 00:00:00.000 UTC,solana,86.14,Buy,4107790.279638,2ZygSERgcs6xGxF9YG4ZTEz3VDQUpxNTBTzpVgimeznZ,2ZygSERgcs6xGxF9YG4ZTEz3VDQUpxNTBTzpVgimeznZ,0.5,SOL,So11111111111111111111111111111111111111112,0.0,0.0,SOL,So11111111111111111111111111111111111111112,raydium,4,,2RhyowS6JLCkiaJywfcW5XAP3rwRyVPoQK8Rf8Rp8apd,3C99Nw5VcDQvxvidT941Qyox3daFUhv4SkbJmhPfaKBz,5y7wamCryGJMTFvsMDBpjxsSbDqDNEC7N6VGMmjFvTB4y8bxXCBZBYTNUr5sbiE3PCux2HjLmye1Gx1P2n2JWeuM,51,6,1,true
2024-03-22 03:27:27.000 UTC,2024-03-22 00:00:00.000 UTC,2024-03-01 00:00:00.000 UTC,solana,11026.640804589739,Sell,61.923068482,SOL,So11111111111111111111111111111111111111112,1913871.341667,THICK,Ft1L1qu5WahAND2PJyTVFrPEx44Nf2KSPU1QWVqLjyar,0.0,0.0,SOL,So11111111111111111111111111111111111111112,raydium,4,THICK-SOL,DqDkoAbwmAgCwvJNJ5PJFSSkWbwD9uhpRfhPx6Shf7eH,7kvAMJtqjCX2KAEyAGSuN3uB3PSS9RVgoRgEVeFEJ2JM,4a2KNbgvnfVkuBKA72GtsV5rTTWoZgVa7N42TPKRWLqCVMEvRXueDkzV4zdCFS6vDV4cKcbvtVm71UnM8xKN4YiV,281,4,1,true
