block_slot,tx_id,buyer,seller,outer_instruction_index,inner_instruction_index,account_mint,amount_raw,taker_fee_amount_raw,maker_fee_amount_raw,royalty_fee_amount_raw
215472662,3tRQaAPrPJ3oFH43fGH1F1wohyymPkrkh2Kmdg6uSZv8Y1bsFzwu11eyQkhpbW5WjwTy2CsudwrKuwe232WyMBop,4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,HeCZbdTTBpNH8G94FxVMDz6wJWzRKWg3Q6gYqPsrRhgt,3,0,7qVtPDQa5sFSELFJ9FWX92z5DB3EPSf1fhpQFao4XyjY,190000000,2660000,-760000,9500000
215472668,4EXEEQGZ3kmBiU3aZE95WN9jK1XkmzFcfcKTMfnvmZypYwpC6Pqi5avQ83FmgYUfzbQ7WNs1UaLKbrkbeaUV34qC,4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,HeCZbdTTBpNH8G94FxVMDz6wJWzRKWg3Q6gYqPsrRhgt,3,0,3KtZUamnV5umkJuTDPwv9y8ve2b1HFpGarwnJ3xJSHAt,190000000,2660000,-760000,9500000
215472672,1qx5n8tQrvxLRZeZqGYqoWrK5vJyQUKqXFxLdgV3d3GLbqMUqeDQEGkZye6dGJ3eByfrjjzu8wfn5CwAGrvwAd4,4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,HeCZbdTTBpNH8G94FxVMDz6wJWzRKWg3Q6gYqPsrRhgt,3,0,AZYp21eYbqaCN2dNk1q42ZyPLzXwCUufNsDPB3YEYsED,190000000,2660000,-760000,9500000
215472678,56kiWaLUT9hADkNvNqekQS4k5TwvgGRgGPC4ZVvnS1BGmxmhLrVepLQ6HtpwNDzKG5QabaLoCTsyX21dfdC1p8bf,4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,HeCZbdTTBpNH8G94FxVMDz6wJWzRKWg3Q6gYqPsrRhgt,3,0,HvenhWEbKzVR1ibiZmP7BZrdPrDjwVyj3B54U9wNp3NQ,190000000,2660000,-760000,9500000
215472959,V4M4Lhzi5mXfZRLqwHPsBUhWjZWn62XFLwNXhvosDwycHDfpTNNP3UiVqDxXs5CeHcsxkHv32hpeVcrrwXBYDPW,4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,G5UF5MY9UnK14Q4VtvKaZpHMyfLrrjiNU7YpssZTx8zo,3,0,A7c5gT6X3qiXUpxYbVZ8ZwNi87RL2hTaRanc2EER56QW,560000001,7840000,-2240000.004,33600000
215472964,5BsiGnSJYq4cbR342Gv7wA1StMDj7UHCa2N2avp96XqdLWdbeKnYGAkSeLKiuxcEEBsQstBYFLo5xSaBeB4Bkad2,4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,G5UF5MY9UnK14Q4VtvKaZpHMyfLrrjiNU7YpssZTx8zo,3,0,9HRKxLYP4kna7ghMP6EAPwizSCmcWQTmQj4Lo16QrJK,560000001,7840000,-2240000.004,33600000
215473152,ZGbsb8pZKY6tgcE3hQiEVRRQMbmpZfrAqDBT22Kk7TrBFowmxLnYvh5oBypYPMvNybyp6QB4EyRdarA5T2f9CHX,FzQYfytjijjig1Pgi2RSjJNiBPWj7GVZiMaQHdcYPAuC,4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,3,0,52EeUyxq8StYU71fqdMmfzKbhk7g2VTtTS4RHJgYw32X,1210000000,16940000,-4840000,60500000
215473183,3h9bkYtRTHqeNkB4tR7VYSmLjsuV9hDT4bfMky1SGQTJSwBanDy1ogci5UqyfZ1rfy9Ctoz6gmoBrQzSQMPT5BYQ,GpNLftwbAPy93qgLCAerBZsgNJbV96P1VEKuSHwujYsM,4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,3,0,3wWudmCbM6oSveTztYbF2N9HroyvtbJWFqNWDXmvwNe4,21380000000,299320000,-85520000,1069000000
215473391,4NcWtC5GZtt2eQuZiiFVXA8LkCtzeyEhKd46ntK6rDSZsGoYL84ENrcH7FLTcihZbRiASPqY6ujxETZEke2cqawQ,FMq74AzQX4mfz79QjEn776q8tPS9nQpaedx8XtivxDoc,4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,3,0,HrDjmzLmgXn78rVFnYyT5wTLK38MVr7MrvSL3vbYjf6e,17010000000,238140000,-68040000,850500000
215473315,3zgK1Qdy5EJxnd1YDFDoF8F3hogcuoMMjQtKRHH4uDjznFaiKVwqF1eo6qLA2FQM6iR3v923dei6XpZYW8tXBPBM,54XRKQEgXEPJdiWZcfY5swiXeaaQMs2fGErn8WGRJUSk,4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,3,0,3arPw8asL8LManbQkg2udV3CpracFg2Ej13kYGQJCh5W,50000000,700000,-200000,2250000
