market_id,base_mint,quote_mint,base_decimals,quote_decimals,base_atoms_per_raw_base_unit,quote_atoms_per_quote_unit,base_atoms_per_base_lot,quote_atoms_per_quote_lot,tick_size_in_quote_atoms_per_base_unit,base_lots_per_base_unit,market_name,base_symbol,quote_symbol,raw_base_units_per_base_unit,raw_base_units_per_base_lot,quote_units_per_quote_lot,tick_size_in_quote_units_per_raw_base_unit
4DoNfFBfF7UokCC2FQzriy7yHK6DY6NVdYpuekQ5pRgg,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,9,6,1000000000,1000000,1000000,1,1000,1000,SOL/USDC,SOL,USDC,1.000000000000000,0.001000000000000,0.000001000000000,0.001000000000000
FZRgpfpvicJ3p23DfmZuvUgcQZBHJsWScTf2N2jK8dy6,mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,So11111111111111111111111111111111111111112,9,9,1000000000,1000000000,100000,1,10000,10000,mSOL/SOL,mSOL,SOL,1.000000000000000,0.000100000000000,0.000000001000000,0.000010000000000
GBMoNx84HsFdVK63t8BZuDgyZhSBaeKWB4pHHpoeRM9z,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,5,6,100000,1000000,10000000000,1,100,10,Bonk/USDC,Bonk,USDC,1000000.000000000000000,100000.000000000000000,0.000001000000000,0.000000000100000
FicF181nDsEcasznMTPp9aLa5Rbpdtd11GtSEa1UUWzx,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,So11111111111111111111111111111111111111112,5,9,100000,1000000000,100000000,1,10000,1000,Bonk/SOL,Bonk,SOL,1000000.000000000000000,1000.000000000000000,0.000000001000000,0.000000000010000
2t9TBYyUyovhHQq434uAiBxW6DmJCg7w4xdDoSK6LRjP,J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,So11111111111111111111111111111111111111112,9,9,1000000000,1000000000,100000,1,10000,10000,JitoSOL/SOL,JitoSOL,SOL,1.000000000000000,0.000100000000000,0.000000001000000,0.000010000000000
Ew3vFDdtdGrknJAVVfraxCA37uNJtimXYPY4QjnfhFHH,7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,8,6,100000000,1000000,10000,1,10000,10000,WETH/USDC,WETH,USDC,1.000000000000000,0.000100000000000,0.000001000000000,0.010000000000000
2sTMN9A1D1qeZLF95XQgJCUPiKe5DiV52jLfZGqMP46m,HZ1JovNiVvGrGNiiYvEozEVgZ58xaU3RKwX8eACQBCt3,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6,6,1000000,1000000,10000,1,100,100,PYTH/USDC,PYTH,USDC,1.000000000000000,0.010000000000000,0.000001000000000,0.000100000000000
BRLLmdtPGuuFn3BU6orYw4KHaohAEptBToi3dwRUnHQZ,jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,9,6,1000000000,1000000,10000000,1,100,100,JTO/USDC,JTO,USDC,1.000000000000000,0.010000000000000,0.000001000000000,0.000100000000000
5x91Aaegvx1JmW7g8gDfWqwb6kPF7CdNunqNoYCdLjk1,HzwqbKZw8HxMN6bF2yFZNrht3c2iXXzpKcFu7uBEDKtr,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6,6,1000000,1000000,100000,1,10,10,EURC/USDC,EURC,USDC,1.000000000000000,0.100000000000000,0.000001000000000,0.000010000000000
6ojSigXF7nDPyhFRgmn3V9ywhYseKF9J32ZrranMGVSX,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6,6,1000000,1000000,10000,1,100,100,$WIF/USDC,$WIF,USDC,1.000000000000000,0.010000000000000,0.000001000000000,0.000100000000000
3J9LfemPBLowAJgpG3YdYPB9n6pUk7HEjwgS6Y5ToSFg,So11111111111111111111111111111111111111112,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,9,6,1000000000,1000000,1000000,1,1000,1000,SOL/USDT,SOL,USDT,1.000000000000000,0.001000000000000,0.000001000000000,0.001000000000000
2jxpfobdZDU3z9MsDCjAz8psSaTb5HPoDEtusFLGrPnD,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,5,6,100000,1000000,100000000,1,1000,1000,Bonk/USDT,Bonk,USDT,1000000.000000000000000,1000.000000000000000,0.000001000000000,0.000000001000000
5LQLfGtqcC5rm2WuGxJf4tjqYmDjsQAbKo2AMLQ8KB7p,J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,9,6,1000000000,1000000,1000000,1,1000,1000,JitoSOL/USDC,JitoSOL,USDC,1.000000000000000,0.001000000000000,0.000001000000000,0.001000000000000
