block_time,block_date,block_month,blockchain,amount_usd,type,token_bought_amount,token_bought_symbol,token_bought_address,token_sold_amount,token_sold_symbol,token_sold_address,fee_usd,fee_token_amount,fee_token_symbol,fee_token_address,project,version,token_pair,project_contract_address,user,tx_id,tx_index,outer_instruction_index,inner_instruction_index,is_last_trade_in_transaction
2024-06-24 15:02:35.000 UTC,2024-06-24 00:00:00.000 UTC,2024-06-01 00:00:00.000 UTC,solana,12.811543685472,Sell,37.866286,W,85VBFQZC9TZkfaptBWjvUw7YbZjy52A6mjtPGjstQAmQ,12.803759,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0.10255309908,0.000797334,SOL,So11111111111111111111111111111111111111112,whirlpool,1,W-USDC,DhcC4fxr85JBRG3kV2gTGNTMnhsXfzM6zJ8xbRjEPF98,A9PH6JN2dLoc2U7jKcB5kKBicQhmoYnfPibtJGcE3Xee,5M4Ru2oHuUtaWoRAbdQTL5o4ctFn1odBdaWJWkDbcR17eeG8B8Xwz4TXSKKByR9ST1NJhCTS14nws1PnTgyA7TEk,250,4,7,true
2024-06-22 19:00:01.000 UTC,2024-06-22 00:00:00.000 UTC,2024-06-01 00:00:00.000 UTC,solana,134.34,Buy,203723.118865,SHYCAT,6WErZ2aMZYLUyzbP9n5gm4fwHJbv9Ln8yimSQRwZpump,1,SOL,So11111111111111111111111111111111111111112,1.0747200000000001,0.008,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-SHYCAT,H13rUKCsRarATPXcaHvzCpL34e5Hkp8nZ4z5NDmopJAj,4Zw3HvVo8bBPXpvPY5prFPKnJdr4cyMffiMnEfxW26ZX,2zDWSuDh7DxvPN1eHn5ajy3nxJXKAFSv7N4FgcvCWSfzfXtRasvWxJkFFWRmkr42FqXuTDu2ZhAA3x2h812GswGi,151,8,2,true
2024-06-24 06:46:09.000 UTC,2024-06-24 00:00:00.000 UTC,2024-06-01 00:00:00.000 UTC,solana,62.515,Buy,77630.371622,AIPETS,29BY5BHtLCG2mamRtC9hh9283U3QkbYLSCwXXmEJpump,0.5,SOL,So11111111111111111111111111111111111111112,0.50012,0.004,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-AIPETS,HWn1VZDQ8EBA4BbmiBJxPQmYxSRBeE9ExRumSjNp4ZHa,Fg1bSE3CinkdkszfT6pCeybkRBE4eRQk5379ap4xUQQx,2iwKxFdA6xLsQvVTWofXykk5AneYTrJBLRfMPmYqKKvAibKx6aXRYTAqhLyp9E7Hqxdz8YgFwM2dEnJ4ELuyGRPP,398,7,2,true
2024-06-22 22:12:47.000 UTC,2024-06-22 00:00:00.000 UTC,2024-06-01 00:00:00.000 UTC,solana,64.37073175993,Sell,0.478343849,SOL,So11111111111111111111111111111111111111112,2373260.36815,POOKIE,WhUa8NG4sUPsdJsmQZ8r2zm34uQWdcA28PQksSvpump,0.5149657474999999,0.00382675,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-POOKIE,4YnCDyihTW53GbLAAPLcognzcNtSWGFJmwFLF6JTXzCA,32frDbYfgMme6593pbEfhPVYVxy3uAwnzJ5K4N8aWE77,79QsnjPnZvTvgxTkdBs2afMxLfQah6WrwgrMBT8WEJyvLs9xgHtb2VtyxhqP2eoAa1kBRwrWKaQstQC4EXdWJVB,452,5,1,true
2024-06-24 22:27:56.000 UTC,2024-06-24 00:00:00.000 UTC,2024-06-01 00:00:00.000 UTC,solana,65.58,Buy,84017.630455,AIPETS,29BY5BHtLCG2mamRtC9hh9283U3QkbYLSCwXXmEJpump,0.5,SOL,So11111111111111111111111111111111111111112,0.52464,0.004,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-AIPETS,HWn1VZDQ8EBA4BbmiBJxPQmYxSRBeE9ExRumSjNp4ZHa,Fg1bSE3CinkdkszfT6pCeybkRBE4eRQk5379ap4xUQQx,28YtZvnBP4JLs5iDisg8QjaZUaFRtRmCNz2f9wqbMn8PPBnierNc12iUfmXxo4wnZ61m3p6M8ZuMJjY4EUPjNByG,1837,7,2,true
2024-06-15 16:05:32.000 UTC,2024-06-15 00:00:00.000 UTC,2024-06-01 00:00:00.000 UTC,solana,7.266500000000001,Buy,20701.350115,FLIGHT,6pn3f9LSbc3dUmZjhrP3ouaeCejzZ2z3uWrCAc1ppump,0.05,SOL,So11111111111111111111111111111111111111112,0.05813200000000001,0.0004,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-FLIGHT,GFfZ1p6doj2KqWdPX5eM9RQK81PrU3226eDzBgMDBzZv,HrYbJNuWc9JnhAGKRtDkrVSwTbpB676f622jxtcrzr2g,3hkpcZAifjDmJdmm1rEsuvQkcw1My2R4jWiDjyFBLU8Z5azoJPUahrzcWKEnohetuEzsJxUv3oCS4rHC9tziDmgz,459,8,2,true
2024-06-26 05:35:11.000 UTC,2024-06-26 00:00:00.000 UTC,2024-06-01 00:00:00.000 UTC,solana,13.684000000000001,Buy,1157.72427,Pepe,B5WTLaRwaUQpKk7ir1wniNB6m5o8GgMrimhKMYan2R6B,0.1,SOL,So11111111111111111111111111111111111111112,0.10947200000000001,0.0008,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-Pepe,FCEnSxyJfRSKsz6tASUENCsfGwKgkH6YuRn1AMmyHhZn,BQGjbx9aApoy4aB6Vpte63fhfhdqcfwNYawxCXqJesWQ,5uWga1bqTgTJY3aLa5BBb7j8y5pSWHPKcCwaDetz68fmjCC2AYsRt86F5LXdLk6AUHHYHbNJQoFwKPrSq6BWCUmz,784,7,2,true
2024-06-24 22:48:02.000 UTC,2024-06-24 00:00:00.000 UTC,2024-06-01 00:00:00.000 UTC,solana,65.495,Buy,84011.858456,AIPETS,29BY5BHtLCG2mamRtC9hh9283U3QkbYLSCwXXmEJpump,0.5,SOL,So11111111111111111111111111111111111111112,0.5239600000000001,0.004,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-AIPETS,HWn1VZDQ8EBA4BbmiBJxPQmYxSRBeE9ExRumSjNp4ZHa,Fg1bSE3CinkdkszfT6pCeybkRBE4eRQk5379ap4xUQQx,5FwSKPHDBZ1Yu4fmReXFj9gsAgWCtX8aAuVC7JZiWAkMDyLTwhVCjM4bvwTQpiyVu8JxFkPLr98NtaUVEQDHCmLJ,1488,7,2,true
2024-06-15 18:08:27.000 UTC,2024-06-15 00:00:00.000 UTC,2024-06-01 00:00:00.000 UTC,solana,,Sell,9800.58276,Odie,DEhDXhtUFuz6Uodhde3rznGbVbdiECahp1kTHnFpsna3,33354.114418,Topmutha,552ZLd9vb8pp6CCJWDBs58mi1iGWKg2oE1koS65spump,0.023283200000000004,0.00016,SOL,So11111111111111111111111111111111111111112,meteora,1,Topmutha-Odie,9mJcmdc7pJeuxRASJUon2ncYeGqkRQxDsaF5tKz7ojnH,AjF5x3SW7C7CZ8wFCgxyMrT7e9xoJRfWXGVxyB9kdeAY,5ckSAsWhuA97wmNftMSheeVvqyEaipP8doeYrTTms5j4tu1oGkVh1yUxAU84nbkd71KGsh4TsCv9uteLrSrUWzQs,218,7,6,false
2024-06-24 04:31:23.000 UTC,2024-06-24 00:00:00.000 UTC,2024-06-01 00:00:00.000 UTC,solana,63.12,Buy,28979.419025318,CRODIE,GvcNXdSehfNSNyhDVDj27kc459LzFqWozt9CSJywMy6r,0.5,SOL,So11111111111111111111111111111111111111112,0.50496,0.004,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-CRODIE,9ipFjpjR5es54uFFqzzeosVMhSv5AfGq78BsWvabxa1v,Auj4sWHKa5SzbmgqPs674LAHvYYdUPRviMCKBUpDHMEc,5paHqt4DqEG66gZdxCcHgSCMVnWwN9hLReN6Q9oNJ7nSgnYhMkgnUKwudK2s8rjjf6AkbMxC5Q7HmXucEXv3sjmN,690,7,2,true
