blockchain,project,version,block_date,tx_hash,evt_index,token_bought_address,token_sold_address,block_number,token_bought_amount_raw,token_sold_amount_raw
ethereum,airswap,swap_erc20_v4,2023-05-23,0xd36c783cd53d3bf612ec74f6f41c1044ca99f45dd16673e9152093df6089e2b5,293,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17320561,9187921328757279000,5000000000000000
ethereum,airswap,swap_erc20_v4,2023-05-23,0xcdb69602e9ecf42a2e0375eeaef525f825c06d4d83943f69dfb2aca882c54308,272,0xd533a949740bb3306d119cc777fa900ba034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,17322848,3381618049297408327680,2977710000
ethereum,airswap,swap_v3,2022-08-19,0x00399b5f2fc5535efd528b03f76a871766e5f2d2869799281b3064cd02de14fe,308,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,15372204,825220907,486359300000000000
ethereum,airswap,swap_v3,2022-08-25,0x0000e369cb6a2d5908c26d736d0012a3136603f2020acfe8bfd86af4790c8590,213,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,15407305,357272738807249344,600000000
ethereum,airswap,swap,2022-09-29,0x30219b51b252348303f297778374024b4afcd6023d522b4442d2304b8f0c154d,3,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xe34c023c0ea9899a8f8e9381437a604908e8b719,15642120,102122586900,103441570000
ethereum,airswap,swap,2022-09-27,0x1daef042310db224f72cb4c922e1a4ccfa2cbbba8f2757dec38651e95933c6f7,32,0x72b886d09c117654ab7da13a14d603001de0b777,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,15624031,253905873929030000000000,30500000000
ethereum,airswap,light,2022-05-25,0x02881571864ff927f2c1e3a65e88ac2cdb63bcc8b075b3b5cac1fabdbff8719a,287,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,14841336,3901628058,1985140000000000000
ethereum,airswap,light,2022-05-31,0x041c1b58767f3428419d4c3e767e4dda0490d5aa2459902955f9bca530739bc8,175,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,14879188,1024779429220405760,2000000000
ethereum,airswap,light_v0,2021-03-19,0xc418c91e3ac55dd29d4471f12fd5d425df952d2bbe70d5f7157f6a15c49b4c6f,272,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,12067493,2113234170229960518,3816268667
ethereum,airswap,light_v0,2021-03-19,0xc204cbd09767db2c912a7185dcda818b267bc6119a6ba7fc9a16d5ebca654068,109,0xdac17f958d2ee523a2206206994597c13d831ec7,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,12071680,909704519,498500000000000000
