blockchain,project,version,block_date,tx_hash,evt_index,token_bought_address,token_sold_address,block_number,token_bought_amount_raw,token_sold_amount_raw
bnb,thena,1,2023-01-13,0x5e9dbda2365611fd1a32b5b674aa082008194192ce42764e9ba7cb68e81a770f,205,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xf307910a4c7bbc79691fd374889b36d8531b08e3,24761577,283279656374175800,3794420107903842822991
bnb,thena,1,2023-03-20,0xce4925f4437a57ca2c81eaa2d9ffe98d3f057e7814517f06011c61706038ec57,54,0x3e0a7c7db7bb21bda290a80c9811de6d47781671,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,26623871,106017069452683077558702,287826085809612856
bnb,thena,1,2023-01-13,0x9ac1353991d2f9b54d9bbe5bf410f572ca49b2cd55f9b21129d2c34d044869d2,70,0xe9e7cea3dedca5984780bafc599bd69add087d56,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,24761605,248302437157684684418,850000000000000000
bnb,thena,1,2023-01-11,0x9bef538535e92fcceeaa0d0e53671a96f99b7f4caf3e5571bce376b376ba1792,86,0xe9e7cea3dedca5984780bafc599bd69add087d56,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,24690734,27829354908134304,100000000000000
bnb,thena,1,2023-01-15,0x19c3e71f0813076f8c101040e915ebf57e518b12a34299ba9d901092ce023b47,93,0x2170ed0880ac9a755fd29b2688956bd959f933f8,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,24796600,1300626579292361732,6656329906530132992
bnb,thena,fusion,2023-04-25,0xbb4c30455d3d5e8b69d11dfcfa3bf1bcb77822d9f1d34726cba5a6d09e1e9fa2,409,0x55d398326f99059ff775485246999027b3197955,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,27651113,7009844541037827379605,7010638183932960744855
bnb,thena,fusion,2023-04-21,0xc7fc3cd4454421a2f37db49d965be5ab236419988cce54245da9fa38e301a7b7,64,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x55d398326f99059ff775485246999027b3197955,27550040,4829628970119431610,1553831440053256435552
bnb,thena,fusion,2023-04-22,0xbce3f03c353621d410f8bb396b157c644a03153699cf2821f6fd042225a37044,87,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x2170ed0880ac9a755fd29b2688956bd959f933f8,27572750,8491571502556475980,1504299197685587000
bnb,thena,fusion,2023-04-23,0x436ade4d35952187e4a045cfbe9495839b1bcf8b26448f3b67dbbdd54636c831,293,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xad29abb318791d579433d831ed122afeaf29dcfe,27600562,1274189679565988461,971557212480559743864
bnb,thena,fusion,2023-04-23,0xc0dda2219f7daa1866b234f324dae21abeebae534e5a63378d3c90b039c5ae71,98,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x55d398326f99059ff775485246999027b3197955,27593401,7677802518477545318,2535952589394395855828
