tx_hash,block_time,token_id,amount_original,buyer,seller,platform_fee_amount,royalty_fee_amount
0xe561e5bc95351dba0381676d867aeedc805f4121d2599055927fa7fda24c0b94,2022-12-19 19:05:59,21,0.355,0x3932f608f69eeb3e58ee067be0b03ca4d82da6fb,0x1f08cbfca1f63a23bb6255a76e1ddeeb8d24d0fa,0.01775,0.0355
0x3aa4d62a4985ace80c77c4429519d8e2a896f7822d5eb9193cecbfc4717d1254,2022-12-19 13:03:47,103512,1.75,0x59d6779eca6c91ed7679e261b54299b5155eadf0,0xcafb98282f5ae4aa9083e031981e980cff1d9a79,0.0875,0.175
0x2e57dd05cb9282df1f30da7acb3a9f454ada509a269507ce927b17c4229b0c0a,2022-12-19 07:08:11,28,0.04,0xc1a8c39598e41d5b2082d382527c72e2b419f1bd,0x38345b9d3b617e6125082963af9fc4255157366e,0.002,0.004
0xb92503a6d12c3914b9fced60b0000a8aa9fcb22d6402cdbe4756190118f76010,2022-12-19 23:03:59,310,0.042,0x1f92fc15bcbeb4dd24eefbead8d7aee409f891dc,0x58e165378f92bcc86c531455ed9c1cac7075445f,0.0021,0.0042
0xad2db80c707f4b60e1716a57167beed7cdf58ae305db36403b89dfd2fde3cc63,2022-12-19 00:24:47,12,0.07,0x7dbba2fa51a93c8a236aab356663d191e38445ee,0xb192318b236ded93c36b7def38649aa1f4613795,0.0035,0.007
0x19eaa1a8e225b0ba8e1d18c7e7c94495d64c0e17f7c57fcf31c908001ce99558,2022-12-19 07:52:35,4,0.75,0x5efdb6d8c798c2c2bea5b1961982a5944f92a5c1,0x511531656cb4bea59d62f3b1f3bb8b1d40eebef9,0.0375,0.075
0x06bd27c6e118e2c909fc7975c9dd006aa62c22a8a97f81f0b9fbee38e8019a38,2022-12-19 22:20:23,59,0.04,0x9e9081492c8c8bb906bb66da9621241d4b14f9a5,0x3932f608f69eeb3e58ee067be0b03ca4d82da6fb,0.002,0.004
0x49d82611975cfd7a98becca24114a4d24a06a7d0f5378efd0981e39bf6fad7dd,2022-12-19 01:48:47,16,0.05,0x773d73174ed1c44a83fdd279a046af824927f46d,0x1307001ffd264dcef256ea0f7826fda218153f3e,0.0025,0.005
0x1a36c872aa3f919dcf52f8a1fc71399bb2a59e7ac4ec03ca616ed4b26ca710e3,2022-12-19 18:01:11,3,0.01,0xd42d52b709829926531c64a32f2713b4dc8ea6f6,0xe78f417a343c76f0e9ec3439358b7e6f3f62640b,0.0005,0
0xdd22f30a1f996a7fd134f2d628f5ec2d791252aa505ab3a8a3d91a9263cd9d4c,2022-12-19 10:46:59,2,0.09,0x4eda5e83e19c68e1858b923760dc8ae442902e65,0x7dd51b0247b288cb17ba8a581ed33aef6271f04d,0.0045,0
0xbaed704c7e6ebf362464d67bc323f3ed4facb9b7f6bd701333d8f04487e2adac,2022-12-19 10:54:59,6,0.2,0x0616ba63e300db20c760a3a5edbab3f2cc32cba4,0x879364ef7d5db984204e5af509a7f02afb294d92,0.01,0
0x5011038706d0f193785e4eeab55224ca378e66d58be0172e153f8e707661ba4a,2022-12-19 12:07:47,16,0.15,0xb2e1462847e6244f9931915ea2294005643b4861,0xd49e55b8078dec84a3c0315fd76d89047768d0a3,0.0075,0
0x2de00158dcc8132757e1ae9ada367e66d7777aaddf216c7bb2934ca433e0629f,2022-03-31 21:52:16,2,1,0x0d6cfc385463ff9e6ab20a4a4f71f111b53a0942,0xcb97a05a140bf08fbba30a6fa43b3a30539f01a7,0.05,0
0xdf385f25a17e44f7c459ae230d8e2a11021533a67de3d9f4473ec98c1fefa36c,2022-03-31 11:27:20,11,0.5,0xb73d416e440e5cc1cd9e4d4e1973cd58367c36ae,0xaabd8bb4881dc89a790a214024abf9a11c06e1b4,0.025,0
0x020cbdee6b985cbc583e5d69c338d16e1a40187466fd123f4448c9e726e92802,2022-12-20 08:02:23,9,0.09,0x0b1456304be405ffd71ffc4002bf8cea6204734e,0x0e97bcb60145f6a6b56adc31250a9e0a0de6c813,0.0045,0
0xbb7b7c9084cb77a99a88cb75b535a5d904b5160d14b71bcace4be30c996f8821,2022-12-20 09:59:47,8,0.07,0x48aed5215b5a1578b8274df885be4e655d9cf0cd,0x3cb11ca67aca2780b950d24e5524414e04000a44,0.0035,0
0x7e0af3c11d118f004c4a137ce01d08c9b2dba8bc24dd71f64f03e4f7683e4480,2022-12-20 02:32:47,94535,2.5,0xd3d225b239f055065f0b7d6f48d90f866c344fe8,0x7f314be00306b7ce9b186f437574e52b5dfb384c,0.125,0.25
