tx_hash,block_time,nft_token_id,original_amount
0x000062bbcb5d555e787620050a4fcda67568c8fb0fe27ff88f552107dfa73280,2022-01-21T23:30:09+00:00,2271,5.25
0x0000b296dc9f331f08558d052b2847bbaaa0d6aa8ff459024087f68c61441e6d,2022-01-23T12:48:25+00:00,712,14.48
0x000126afe5f4dd143d17a7107b1f56333f5733801c47840479a679edad0fbeaa,2022-07-02T10:24:08+00:00,574,0.059
0x0001a119425231adf838c3f9361ca940e2955ba460270cd8f96eef6d38497a6d,2022-01-14T03:49:11+00:00,6473,2.2788
0x0001cb665ba44910266144dcc29dfc6537949a2ff811df727c35cd8f7256042d,2022-05-18T01:35:46+00:00,9756,0.05
0x0001d0d72db92ea3f928e86a05bd092adea86d8e00137da6d0b7efda9c9edd42,2022-05-01T07:20:58+00:00,1194,6.1
0x0001e5d5f9c8713d0655b94de27027c3ca935ebe4568054cc8cf782870389c91,2022-01-26T21:37:21+00:00,1906,493.1
0x00021a3ba32bc1ccce494acd6b26a5d70614f9fe61299671f35eddc4cfbf75ac,2022-01-29T22:57:09+00:00,269,0.01
0x0002921098b624b02ddd589fc194214806cdf4e2933f73c13191e14f9d32235a,2022-03-04T20:20:57+00:00,1688,0.08
0x000347d0b7984693edb8b228292139cbacc14de7cec6528e1a61a48ea49cccde,2022-06-22T09:43:36+00:00,3763,0.089
0x000371193722b4323adb02ac542fcffceb58bdb6e835862938395bb1794ac024,2022-03-21T07:36:50+00:00,6366,0.25
0x0003c0f0002aee02e4af37fabeb477277f749c0d3d537730a0dd6122e1891361,2022-01-31T22:13:13+00:00,2459,2.25
0x0004c1bdb2e2449cb2fdbd6e6d8048320c1fec8b4ac5f2bf4060abe22d915ace,2022-02-01T21:01:09+00:00,5433,0.3
0x00055a29b874eb7e03c933cf8102e644224e79a83685bfbd03123a656164afa5,2022-06-05T02:32:27+00:00,5312,1.1
0x0006350270c7e03962dd216a69a47825427385a2fc90fa476efc6ce9cb087fac,2022-03-06T02:58:32+00:00,4459,0.017
0x00064ce4027ecbbe61fb3c6f58b83c1d5199fc8a353c9e393a4d4697959ef092,2022-05-07T02:37:36+00:00,4808,0.275
0x0006545d115c5cccb741d0483865ffba15eb8bc01721a80ac2d331291d5bc5ce,2022-07-03T02:03:47+00:00,421,0.015
0x0006ab0ba330f1c69bd714f44d7c7dc26c8983e8c1bc3368626c0c45e411dbe8,2022-01-14T05:32:22+00:00,1164,0.069
0x0006c5f7d751dc20335b313175bbf656c75cca7878790b188a463be8ad1c232b,2022-04-20T17:54:34+00:00,1124,0.3
0x0006d2077cf76d0b75abb92542c4f3d6b733fa7842d57d59fc0031124499768c,2022-02-05T11:51:03+00:00,8934,0.86
0x0007fed03c15b7dc7a4ac94f05e6edba748b21103484c7c3e71b7b756a69a89e,2022-02-21T01:50:40+00:00,1487,1.001
0x000815ee6d9b892e59904cf4b04bfc42494e6231ce17f418761a9e983501cce8,2022-02-09T20:42:48+00:00,2272,0.45
0x0008207da0de2060f286a50fc0947ba013f17424aaef47ec38622cefefa5bf48,2022-04-06T05:50:37+00:00,3302,0.45
0x00082ef9c8ea698bb3306df6eb5dba0afcbf9cf3941d9558b530a9083196704a,2022-04-28T14:20:09+00:00,7120,0.15
0x0008aae02b094b64eaa02537021b296ab4df17ea9bb308eeb5341af6e53e8726,2022-02-13T08:17:13+00:00,3803,0.315
0x0008c48855593ef70da6f2b813a1a19c4b51fe9814179b515e78c5603c5f2ed0,2022-04-21T09:52:54+00:00,5011,0.3
0x00093b7511b641448cca47221706d4e5db0f0d722027f88205a799e599c9d7bb,2022-05-24T17:27:51+00:00,7461,0.45
0x0009744155b3f650425fb9befd096feb731ce95917992454eb82ddb67dacb4d5,2022-05-18T14:43:18+00:00,1,57.69
0x0009859467cc1e8b1061dc060990689fe99e85c5c42c1692e87aacef139b68b9,2022-02-16T16:47:46+00:00,3416,0.05
0x00098ec077a822817e4ea08c165167b2f82eac0c4d51b406835902bda0f8747f,2022-02-25T13:24:08+00:00,378,0.25
0x0009df2711213651a8531d3410a23a67735f386b4f28557c21571b61d5f1c2a9,2022-02-07T08:22:55+00:00,16938,5010
0x000a94446e536cc7b7d56ceacf8f49c709f17873f930f793d51682b18a2ee5a8,2022-02-09T14:35:36+00:00,6766,0.04
0x000ae70551a6c30ac2aa1cbe697ad887da43c97f3380c080d7e04a3c9a3397f2,2022-05-18T04:37:29+00:00,3573,7.69
0x000aee41f332e6a7f88ab51c5e14d0a953ff0425a57a204306b9cf471792805e,2022-01-18T17:02:55+00:00,8523,0.5
0x000c3345ca3b872fcb6833d8ddd53ec8bb32afaf7c056ca37fcb4e8123441d0d,2022-02-04T23:21:50+00:00,11,0.5514
0x000c55600afc9c679886ded1bab08d11ddf8129255e0fa4827f92af1c78ea7e5,2022-05-07T00:24:14+00:00,1189,620.419
0x000ca5d18258fbc83a1b0e6338c0f8924a7b881c8a0dc4fb8b397d0944bd478e,2022-06-10T12:37:31+00:00,8077,0.279
0x000d1d80ca3fbf1fc492b5df1387b911984b0e0faec4588173396fa5da935063,2022-05-08T14:31:01+00:00,11312,0.14
0x000d2a080221a4481cd7708ac4c7a96c9672c86c4f5ea4ded3ef29f26804b1ba,2022-03-01T07:04:17+00:00,5742,0.46
0x000d8882b914300ead3e67e632f6f534fd6ca015c1737df942a4eb2a67e2bab5,2022-05-25T12:57:43+00:00,3163,0.25
