hex,dec
a,10
6,6
0,0
2,2
32,50
F9,249
36,54
51,81
816,2070
5AB,1451
185,389
962,2402
Ad6b,44395
8348,33608
2531,9521
8705,34565
4cDcC,314828
C0f6b,790379
30315,197397
00076,118
14e2Ea,1368810
F8dEeb,16309995
311346,3216198
795005,7950341
CB3FdfE,213122558
CEB1812,216733714
5578602,89622018
8839488,142840968
daD24A9a,3671214746
357cDdCB,897375691
17415627,390157863
68649675,1751422581
D19A0CFF7,56264544247
2fEb24110,12863029520
696311782,28289603458
984744115,40876917013
bd9F7Be50e,814424515854
CF4EEf8CcB,890382552267
6061845462,413952922722
4570560939,298237430073
Ea83df1B054,16115756544084
1CedfA5b899,1988027070617
05537486143,365999710531
16300734448,1524720944200
7676eB9Bafb8,130253131067320
E7f0b0Ced4E0,255020944512224
681306248377,114430916723575
057498833291,5998333080209
af0Ad1Dc0Ba3e,3079376086284862
e63632ECa8D75,4049927311887733
2880281236372,712494291313522
0223435300067,37607625982055
105247Ad8BE5E9,4594067435152873
58d0C2C9E2117C,24999332979806588
51078556894858,22807742377445464
75529413430667,33023368206943847
1B0FC934ba0BcC9,121874899498220745
01D20Bb6587c0F6,8198763558977782
975756799539931,681580006430972209
351686864624142,239087052797395266
5b92C50f5BBB2e70,6598553073805373040
0F954cD589661Fa7,1122888162115723175
7127062110646943,8153492389456275779
9980566368247535,11060935669770908981
d9d62C0AFa1ed17E5,251148511630464980965
d08a5aa13E9230cfA,240430764084177341690
80669362189344027,148035912544122322983
89125491812445686,158032798667048769158
c0d4D9E18bCa5F5AeB,3557112400148732795627
dF9CBD2ABE2708c13C,4124918158873932120380
906662204109106594,2663708641217458759060
747903950617165371,2148542289707217081201
8E9D6BFa1fc7d49a4d1,42092497497081961358545
f581c29AaE5c144Fa3E,72460840062541992622654
9017450816786260875,42528126431088685222005
5404862874712630059,24797639915123406733401
6B5dEEFB406E3FFD62E1,507025981294349471539937
eAAdFc05BcFe5dde62fE,1108243203845121856398078
30987677087814185017,229486032577877352402967
89912982901935522845,649641977155369749850181
260F383963De94a3FAFaF,2875690862228793368489903
482DDd9BEf47D5DCdcaCc,5453703341918831474756300
416374537596400608100,4940614899559101292904704
986799639867724094174,11515372366100139512250740
0AF9E87C9dAFD809453B51,13269416074532508471212881
107F71AEB3B78A7F8dC7E4,19944650727846029820807140
1209060566352006936814,21803277120930423688620052
8455924444470711672144,159982307483944521176654148
8F5b4c45F09e75fA2056188,2772920552753358787131564424
2bB999CdD7Ee80505223bFc,845764563635029585233591292
42668482961593406222921,1284371677692290441999952161
58935204727606766515284,1713298767240504688459731588
2B5c03e7f6B731fAED78436D,13419095043797446482944607085
7fE2c6787f8Cf82F5CCF88dE,39578750733907620778289891550
707320156681883886349043,34801499079741742069029572675
981813862579289435341469,47070827912042316015296844905
02eAcf8cAaf7DE7EE4be1c88d,14445420578531162280119355533
a7aF4ba4499eFdCaEf4eAD26e,830334653866470181655978627694
4073348502209848431762581,319141041831186041629759120769
5901138379914221322317749,440727471202653270167126112073
bdDcD905ffaD500Eea3e0f6Aae,15042471782587752746140256135854
6cCAd7Cc05E3945Cb23bf9359B,8619418406047072369097628530075
75771617277842555767105993,9306550436048216790808140994963
53441567052663737719018679,6597008343292751029643600037497
3A729aAa45eb5bE59aFdAd735F0,74091227129844358421669788202480
f6B75816C23198FAfC2FCA8Aa40,312749923652044226218448441092672
541804026009773523418280194,106601570213655961074132830388628
820689965978402198407635553,164826949916095628438364643087699
A1A7f6d9876B0FC4c4b769A39Dbc,3278775445616614402947653564603836
EbE52a92e04810DbcD1aC981564b,4784522682006630715691418620352075
3616824671603257359764605368,1097033456383990093625481224016744
8867778412790767372485926292,2766605195217208519803473847542418
bBB7D16bA34C9cf4e64D403CcBd5f,60917986593859953633881240011324767
4aBBdEb4ac7d5FF7Bb3B02a11EEc9,24252526418460459280080084885696201
47499029741222223067998269322,23134069658852988601952795372196642
63786665566388646941100752210,32279961923899139584682583204897296
Aebb82ae7bC1FBD049CE3204a7ba46,907262817642075370696823294623464006
4CfD66ab8Df616c4A4dc31EB45fe6E,399754145244504569516528371556023918
695871434966199883841172027958,546984995797871756264772350188353880
320600271583820399558137019049,259736549480287145038751365681221705
Ed7BE0DbAa2FCC849991da7fF2C6d0c,19729390511125868204157847493722008844
c5FcaB2bb0204cfd2BA2e54cc7eAeEd,16448115358208801687391022751940521709
5397734709643320776594397652437,6944518661312327124233391556799046711
3805209632569982341440382113630,4653961886572412503082216773970376240
6cBD47c4fe1B1b84421Bc399508e1De8,144539423309477672195193808653971758568
Ae38a7E02fBEAFc86abAfb8bbDDBECfE,231579844814941846735136607022400400638
86777209439128179064830437559326,178736747690003629606925897878570636070
29847741572564971928603897322678,55186149796051947145686717289582438008
D3ACB56C1D11eBBaCbad758bE1Ad6EA8b,4501821789632988516053641174606654401163
0C0eAd2645D64DaAa8FD52acaF7E763DA,256431039913338046657380429582878335962
111733606216487217955636396759634,363477452723835646798835848798121858612
202852447489800342783753023139908,683914501130043839113850824893222066440
2b12C67EB9CE4A63eE108eBa0690af34bd,14657098526607136280196850112926200050877
CDF12db7AC1E85e9D185dd5BfebfA187D3,70078466544452831664919104630712608851923
7959312715522633693327634075458156,41292722904307669706293042374920261435734
5963514872148224025681749732052148,30417146272963620260843430006637734469960
4F65acadD19888d2eaCa31686bfF7bC1ddf,432279289837613402172393547879389144554975
C8E6d5bc12Bf23Dee6975F6FF2DDa277bd6,1093812889552437738806352851180426661166038
37758857594402354105716764992361089,301948124482771216250272428330805961822345
36142708409983491993941181478867694,294432560649619957661979038985175161009812
d3D759Aa5a31F218e2bF9f2B68FB08aE6B7d,18453972226300878590264888974222952416308093
DcccE37caBd618adB6527Fd78CDCCD79DdEE,19234422889924233849673444673692752229817838
630546307202165240677057747858770484,8625911016581183323363504159352378652820612
588760084500807201649557806120551377,7711946930354724632230222151538033418376055
330eeDc9CA69Cbc3D79d574e73E8FCF20ceBa,71164905767180225075934601900036581255859898
e7A98CacF9aFEE9ACcdBeE68bfcdc906ffdA0,322890124164879742339705366528720416011189664
3726017068506531090586251518295991289,76865733905132693392629843091722964288737929
4735988792927637373988798219314569282,99251360211040930555701822030014048080663170
2dA3300cfAd9DA3bbb181dd61BF24bfB6c24EE,1017749187347595903780669758861799644486968558
9e3Ff9aCF784734b7aa4dcfca4f4E5b854f4Ce,3529090775603301677308430128806679055009379534
47137984946038803550170703697071216058,1585049392923282087739034530935581544592531544
59682737161015620011031615916783699306,1993839344640534953580824626892184922203198214
4aD4EB9eCF0Db0D7D3bdd38f72a84f9bF23caAF,26700850028130114740988246743074652572512144047
3C69F780fd9DD1D3183C94e848F1b64B8Bf64A2,21556411570197395427094933685806220674716361890
979676060247698888196101854948433869645,54088312466790172525240943633772008201764902469
653791427802367722395007605485518929510,36115453921171384188425189564571721970117416208
29D759DB27BFf5Bcb606Ab48F3defdf954fEAb84,238871109389584391493637779098487884210105133956
DB3f257bc2ec5b5aDfCcD8B9AEf81faF4db5bcfa,1251677191026336357609491449331540773660563717370
1582091288792078345247034011102036510842,122788693380169535343718605964079710764513953858
3313223463985040927807383674741385815987,291585223115577085726670176612282127982438472071
8ddD334F40df9A28DB78808AfC79e20cA4bF70de2,12958410129122523965050984201024728655965296463330
Fb5468f0abBb3FB357BE4cEfBb41a91357F5aFC4B,22957425402355767932957737535705448935195309440075
18065655635229969270177743282580849764106,2194513658937197366637930360004555545837571555590
83276784802642559277459273555071152471896,11980104603099662608099099719789230860381310097558
dEDE7380671befc18a5aCD319B2CaaD5fb67deA209,325723335209739988335729324115121913152292893139465
969989bC37889EB2eC50eD4d9409aBdfE77Fc74122,220101792785670568244030969917329541868812235129122
615465179205874501827313102996472463598231,142247468474382987679333686268105434524326878085681
241391215724902060011322401890676930434775,52725766280970547172097621571685250291135901026165
bf22c96BD8b71bbF6bCc990A00d42eA76c93B4e435F,4469526564175269621231569049653596225671469229556575
936d86802dE4dc7540550DaD4Ee2eDdDBA2fd73a3b6,3447456322360138320493192604343790129592340455859126
